ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike,Age Brackets
17319,S,F,"$70,000.00",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,42,No,32-54
28906,M,M,"$80,000.00",4,High School,Professional,Yes,2,10+ Miles,Europe,54,No,32-54
12808,M,M,"$40,000.00",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Yes,32-54
20567,M,M,"$130,000.00",4,Partial College,Professional,No,4,5-10 Miles,Europe,61,Yes,55-89
25502,M,F,"$40,000.00",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Yes,32-54
15580,M,M,"$60,000.00",2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,38,Yes,32-54
24185,S,F,"$10,000.00",1,High School,Manual,No,1,1-2 Miles,Europe,45,No,32-54
19291,S,F,"$10,000.00",2,High School,Manual,Yes,0,0-1 Miles,Europe,35,No,32-54
16713,M,M,"$40,000.00",2,Bachelors,Management,Yes,1,0-1 Miles,Pacific,52,Yes,32-54
16185,S,M,"$60,000.00",4,Bachelors,Professional,Yes,3,10+ Miles,Pacific,41,No,32-54
14927,M,F,"$30,000.00",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,37,Yes,32-54
29337,S,M,"$30,000.00",2,Partial College,Clerical,Yes,2,5-10 Miles,Pacific,68,No,55-89
29355,M,F,"$40,000.00",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes,32-54
25303,S,M,"$30,000.00",0,High School,Manual,Yes,1,2-5 Miles,Europe,33,Yes,32-54
14813,S,F,"$20,000.00",4,High School,Manual,Yes,1,0-1 Miles,Europe,43,Yes,32-54
16438,M,F,"$10,000.00",0,Partial High School,Manual,No,2,0-1 Miles,Europe,30,No,25-31
14238,M,M,"$120,000.00",0,Partial High School,Professional,Yes,4,10+ Miles,Pacific,36,Yes,32-54
16200,S,F,"$10,000.00",0,Partial High School,Manual,No,2,0-1 Miles,Europe,35,No,32-54
24857,M,F,"$130,000.00",3,High School,Professional,Yes,4,0-1 Miles,Europe,52,No,32-54
26956,S,F,"$20,000.00",0,Partial College,Manual,No,1,2-5 Miles,Europe,36,Yes,32-54
14517,M,F,"$20,000.00",3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,62,No,55-89
12678,S,F,"$130,000.00",4,High School,Management,Yes,4,0-1 Miles,Pacific,31,No,25-31
16188,S,F,"$20,000.00",0,Partial High School,Manual,No,2,1-2 Miles,Europe,26,No,25-31
27969,M,M,"$80,000.00",0,Bachelors,Professional,Yes,2,10+ Miles,Pacific,29,Yes,25-31
15752,M,M,"$80,000.00",2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Yes,32-54
27745,S,M,"$40,000.00",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,63,Yes,55-89
20828,M,F,"$30,000.00",4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,Yes,32-54
19461,S,F,"$10,000.00",4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,No,32-54
26941,M,M,"$30,000.00",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Yes,32-54
28412,S,M,"$20,000.00",0,High School,Manual,No,1,2-5 Miles,Europe,29,No,25-31
24485,S,M,"$40,000.00",2,Bachelors,Management,No,1,5-10 Miles,Pacific,52,Yes,32-54
16514,S,M,"$10,000.00",0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,Yes,25-31
17191,S,M,"$130,000.00",3,Partial College,Professional,No,3,0-1 Miles,Europe,51,Yes,32-54
19608,M,M,"$80,000.00",5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,No,32-54
24119,S,M,"$30,000.00",0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,No,25-31
25458,M,M,"$20,000.00",1,High School,Manual,No,1,1-2 Miles,Europe,40,Yes,32-54
26886,S,F,"$30,000.00",0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Yes,25-31
28436,S,M,"$30,000.00",0,Partial College,Clerical,No,1,0-1 Miles,Europe,30,Yes,25-31
19562,S,F,"$60,000.00",2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,Yes,32-54
15608,S,F,"$30,000.00",0,Partial College,Clerical,No,1,2-5 Miles,Europe,33,No,32-54
16487,S,F,"$30,000.00",3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,No,55-89
17197,S,F,"$90,000.00",5,Partial College,Professional,Yes,2,10+ Miles,Europe,62,No,55-89
12507,M,M,"$30,000.00",1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,No,32-54
23940,M,M,"$40,000.00",1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,44,Yes,32-54
19441,M,M,"$40,000.00",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,25,Yes,25-31
26852,M,F,"$20,000.00",3,High School,Manual,Yes,2,0-1 Miles,Europe,43,No,32-54
12274,S,M,"$10,000.00",2,High School,Manual,Yes,0,0-1 Miles,Europe,35,No,32-54
20236,S,M,"$60,000.00",3,Bachelors,Professional,No,2,0-1 Miles,Pacific,43,Yes,32-54
24149,M,M,"$10,000.00",2,Partial College,Manual,Yes,0,1-2 Miles,Europe,49,No,32-54
26139,S,M,"$60,000.00",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,45,No,32-54
18491,S,F,"$70,000.00",2,High School,Professional,Yes,2,5-10 Miles,Pacific,49,Yes,32-54
22707,S,F,"$30,000.00",0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,No,25-31
20430,M,M,"$70,000.00",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Yes,32-54
27494,S,F,"$40,000.00",2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,53,Yes,32-54
26829,M,F,"$40,000.00",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Yes,32-54
28395,S,M,"$40,000.00",0,Bachelors,Professional,No,0,0-1 Miles,Europe,39,Yes,32-54
21006,S,F,"$30,000.00",1,Partial College,Manual,No,0,0-1 Miles,Europe,46,Yes,32-54
14682,S,F,"$70,000.00",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,38,No,32-54
17650,S,F,"$40,000.00",2,Partial College,Clerical,Yes,2,1-2 Miles,Europe,35,No,32-54
29191,S,F,"$130,000.00",1,Graduate Degree,Management,No,1,0-1 Miles,Pacific,36,Yes,32-54
15030,M,M,"$20,000.00",0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,26,Yes,25-31
24140,S,M,"$10,000.00",0,Graduate Degree,Manual,No,0,0-1 Miles,Europe,30,Yes,25-31
22496,M,F,"$30,000.00",1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,42,No,32-54
24065,S,F,"$20,000.00",0,High School,Manual,Yes,0,0-1 Miles,Europe,40,Yes,32-54
19914,M,M,"$80,000.00",5,Bachelors,Management,Yes,2,2-5 Miles,Europe,62,No,55-89
12871,S,F,"$30,000.00",0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,No,25-31
22988,M,F,"$40,000.00",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Yes,55-89
15922,M,M,"$150,000.00",2,High School,Professional,Yes,4,0-1 Miles,Europe,48,No,32-54
12344,S,F,"$80,000.00",0,Bachelors,Professional,No,3,10+ Miles,Pacific,31,No,25-31
23627,S,F,"$100,000.00",3,Partial College,Management,No,4,5-10 Miles,Europe,56,No,55-89
27775,S,F,"$40,000.00",0,Bachelors,Clerical,No,0,0-1 Miles,Europe,38,Yes,32-54
29301,M,M,"$80,000.00",5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,No,32-54
12716,S,M,"$30,000.00",0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,32,No,32-54
12472,M,M,"$30,000.00",1,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,39,No,32-54
20970,S,M,"$10,000.00",2,Partial College,Manual,Yes,1,0-1 Miles,Europe,52,Yes,32-54
26818,S,M,"$10,000.00",3,High School,Manual,Yes,1,0-1 Miles,Europe,39,Yes,32-54
12993,M,M,"$60,000.00",2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,No,32-54
14192,M,M,"$90,000.00",4,High School,Management,Yes,3,5-10 Miles,Europe,56,Yes,55-89
19477,M,M,"$40,000.00",0,Bachelors,Professional,Yes,0,0-1 Miles,Europe,40,Yes,32-54
26796,S,M,"$40,000.00",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Yes,55-89
21094,S,F,"$30,000.00",2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,No,32-54
12234,M,M,"$10,000.00",2,Partial College,Manual,Yes,1,2-5 Miles,Europe,52,No,32-54
28683,S,F,"$10,000.00",1,High School,Manual,No,1,5-10 Miles,Europe,35,Yes,32-54
17994,S,M,"$20,000.00",2,High School,Manual,Yes,2,0-1 Miles,Europe,42,No,32-54
24273,M,F,"$20,000.00",2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,Yes,55-89
26547,S,F,"$30,000.00",2,Partial College,Clerical,No,2,5-10 Miles,Pacific,60,Yes,55-89
22500,S,M,"$40,000.00",0,Bachelors,Professional,No,0,0-1 Miles,Europe,40,Yes,32-54
23993,S,F,"$10,000.00",0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Yes,25-31
14832,M,M,"$40,000.00",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Yes,32-54
16614,M,F,"$80,000.00",0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32,No,32-54
20877,S,M,"$30,000.00",1,Bachelors,Clerical,Yes,0,1-2 Miles,Europe,37,Yes,32-54
20729,M,F,"$40,000.00",2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,No,32-54
22464,M,M,"$40,000.00",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes,32-54
19475,M,F,"$40,000.00",0,Bachelors,Professional,No,0,0-1 Miles,Europe,40,Yes,32-54
19675,M,M,"$20,000.00",4,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,60,No,55-89
12728,S,M,"$30,000.00",0,Partial College,Clerical,No,1,1-2 Miles,Europe,27,No,25-31
26154,M,M,"$60,000.00",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,43,Yes,32-54
29117,S,M,"$100,000.00",1,Bachelors,Management,No,3,0-1 Miles,Pacific,48,No,32-54
17845,S,F,"$20,000.00",0,Partial High School,Manual,No,2,1-2 Miles,Europe,32,No,32-54
25058,M,M,"$100,000.00",1,Bachelors,Management,Yes,3,2-5 Miles,Pacific,47,No,32-54
23426,S,M,"$80,000.00",5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,No,32-54
14798,S,F,"$10,000.00",4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,41,Yes,32-54
12664,M,F,"$130,000.00",5,Partial College,Professional,Yes,4,0-1 Miles,Europe,59,No,55-89
23979,S,M,"$10,000.00",2,Partial College,Manual,No,0,0-1 Miles,Europe,50,No,32-54
25605,S,F,"$20,000.00",2,Partial College,Manual,No,1,0-1 Miles,Europe,54,Yes,32-54
20797,M,F,"$10,000.00",1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,No,32-54
21980,S,F,"$60,000.00",1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,44,Yes,32-54
25460,M,F,"$20,000.00",2,High School,Manual,Yes,0,0-1 Miles,Europe,40,Yes,32-54
29181,S,F,"$60,000.00",2,Bachelors,Professional,No,1,0-1 Miles,Pacific,38,Yes,32-54
24279,S,M,"$40,000.00",2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,52,No,32-54
22402,M,M,"$10,000.00",0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,25,Yes,25-31
15465,M,F,"$10,000.00",0,Partial College,Manual,No,1,0-1 Miles,Pacific,25,No,25-31
26757,S,M,"$90,000.00",1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Yes,32-54
14233,S,M,"$100,000.00",0,High School,Management,Yes,3,10+ Miles,Pacific,35,No,32-54
14058,S,M,"$70,000.00",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,41,Yes,32-54
12273,M,M,"$30,000.00",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,No,32-54
17203,M,F,"$130,000.00",4,Partial College,Professional,Yes,4,5-10 Miles,Europe,61,Yes,55-89
18144,M,F,"$80,000.00",5,Bachelors,Management,Yes,2,2-5 Miles,Europe,61,No,55-89
23963,M,M,"$10,000.00",0,Partial High School,Manual,No,2,0-1 Miles,Europe,33,No,32-54
17907,M,F,"$10,000.00",0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,27,No,25-31
19442,S,M,"$50,000.00",0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,37,Yes,32-54
17504,S,F,"$80,000.00",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Yes,32-54
12253,S,F,"$20,000.00",0,Partial College,Manual,Yes,0,0-1 Miles,Pacific,29,Yes,25-31
27304,S,F,"$110,000.00",2,Partial College,Professional,No,3,5-10 Miles,Europe,48,No,32-54
14191,M,M,"$160,000.00",4,Partial College,Professional,No,2,10+ Miles,Europe,55,Yes,55-89
12212,M,F,"$10,000.00",0,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,Yes,32-54
25529,S,M,"$10,000.00",1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,44,No,32-54
22170,M,F,"$30,000.00",3,Partial College,Clerical,No,2,1-2 Miles,Pacific,55,Yes,55-89
19445,M,F,"$10,000.00",2,High School,Manual,No,1,0-1 Miles,Europe,38,No,32-54
15265,S,M,"$40,000.00",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Yes,55-89
28918,M,F,"$130,000.00",4,High School,Management,No,4,10+ Miles,Europe,58,No,55-89
15799,M,F,"$90,000.00",1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Yes,32-54
11047,M,F,"$30,000.00",3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,56,Yes,55-89
18151,S,M,"$80,000.00",5,Partial College,Professional,No,2,10+ Miles,Europe,59,No,55-89
20606,M,F,"$70,000.00",0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,32,Yes,32-54
19482,M,M,"$30,000.00",1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,44,Yes,32-54
16489,M,M,"$30,000.00",3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,No,55-89
26944,S,M,"$90,000.00",2,High School,Manual,Yes,0,0-1 Miles,Europe,36,Yes,32-54
15682,S,F,"$80,000.00",5,Bachelors,Management,Yes,2,10+ Miles,Europe,62,No,55-89
26032,M,F,"$70,000.00",5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,41,No,32-54
17843,S,F,"$10,000.00",0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,No,32-54
25559,S,M,"$20,000.00",0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,25,Yes,25-31
16209,S,F,"$50,000.00",0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,Europe,36,No,32-54
11147,M,M,"$60,000.00",2,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,67,Yes,55-89
15214,S,F,"$100,000.00",0,Graduate Degree,Management,No,1,1-2 Miles,Pacific,39,Yes,32-54
11453,S,M,"$80,000.00",0,Bachelors,Professional,No,3,10+ Miles,Pacific,33,Yes,32-54
24584,S,M,"$60,000.00",0,Bachelors,Professional,No,3,2-5 Miles,Pacific,31,No,25-31
12585,M,M,"$10,000.00",1,High School,Manual,Yes,0,2-5 Miles,Pacific,27,Yes,25-31
18626,S,M,"$40,000.00",2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,33,Yes,32-54
29298,S,F,"$60,000.00",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Yes,32-54
24842,S,F,"$90,000.00",3,High School,Professional,No,1,2-5 Miles,Europe,51,No,32-54
15657,M,M,"$30,000.00",3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,46,Yes,32-54
11415,S,M,"$90,000.00",5,Partial College,Professional,No,2,10+ Miles,Europe,62,No,55-89
28729,S,F,"$20,000.00",0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,26,Yes,25-31
22633,S,F,"$40,000.00",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes,32-54
25649,S,F,"$30,000.00",3,Partial College,Clerical,Yes,0,0-1 Miles,Europe,42,Yes,32-54
14669,M,F,"$80,000.00",4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36,No,32-54
19299,M,F,"$50,000.00",0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36,Yes,32-54
20946,S,F,"$30,000.00",0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,No,25-31
11451,S,M,"$70,000.00",0,Bachelors,Professional,No,4,10+ Miles,Pacific,31,Yes,25-31
25553,M,M,"$30,000.00",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,Yes,55-89
27951,S,M,"$80,000.00",4,Partial College,Professional,No,2,2-5 Miles,Europe,54,Yes,32-54
25026,M,M,"$20,000.00",2,Partial High School,Clerical,Yes,3,5-10 Miles,Pacific,54,No,32-54
13673,S,F,"$20,000.00",0,Partial High School,Manual,No,2,0-1 Miles,Europe,25,No,25-31
16043,S,M,"$10,000.00",1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,No,32-54
22399,S,M,"$10,000.00",0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,Yes,25-31
27696,M,M,"$60,000.00",1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,43,Yes,32-54
25313,S,M,"$10,000.00",0,Partial High School,Manual,No,2,1-2 Miles,Europe,35,No,32-54
13813,M,F,"$30,000.00",3,Partial College,Clerical,No,0,0-1 Miles,Europe,42,No,32-54
18711,S,F,"$70,000.00",5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,39,No,32-54
19650,M,F,"$30,000.00",2,Partial College,Clerical,No,2,0-1 Miles,Pacific,67,No,55-89
14135,M,M,"$20,000.00",1,Partial College,Manual,Yes,0,1-2 Miles,Europe,35,No,32-54
12833,S,F,"$20,000.00",3,High School,Manual,Yes,1,0-1 Miles,Europe,42,Yes,32-54
26849,M,M,"$10,000.00",3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,No,32-54
20962,M,F,"$20,000.00",1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No,32-54
28915,S,M,"$80,000.00",5,High School,Management,Yes,3,10+ Miles,Europe,57,No,55-89
22830,M,M,"$120,000.00",4,Partial College,Management,Yes,3,10+ Miles,Europe,56,No,55-89
14777,M,F,"$40,000.00",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Yes,32-54
12591,M,F,"$30,000.00",4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No,32-54
24174,M,M,"$20,000.00",0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,27,Yes,25-31
24611,S,M,"$90,000.00",0,Bachelors,Professional,No,4,10+ Miles,Pacific,35,Yes,32-54
11340,M,F,"$10,000.00",1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70,Yes,55-89
25693,S,F,"$30,000.00",5,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,44,Yes,32-54
25555,M,F,"$10,000.00",0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Yes,25-31
22006,M,M,"$70,000.00",5,Partial College,Skilled Manual,Yes,3,5-10 Miles,Pacific,46,No,32-54
20060,S,F,"$30,000.00",0,High School,Manual,No,1,2-5 Miles,Europe,34,Yes,32-54
17702,M,M,"$10,000.00",1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,No,32-54
12503,S,F,"$30,000.00",3,Partial College,Clerical,Yes,2,0-1 Miles,Europe,27,No,25-31
23908,S,M,"$30,000.00",1,Bachelors,Clerical,No,1,0-1 Miles,Europe,39,Yes,32-54
22527,S,F,"$20,000.00",0,High School,Manual,No,1,2-5 Miles,Europe,29,No,25-31
19057,M,F,"$120,000.00",3,Bachelors,Management,No,2,10+ Miles,Europe,52,Yes,32-54
18494,M,M,"$110,000.00",5,Bachelors,Management,Yes,4,2-5 Miles,Pacific,48,Yes,32-54
11249,M,F,"$130,000.00",3,Partial College,Professional,Yes,3,0-1 Miles,Europe,51,Yes,32-54
21568,M,F,"$100,000.00",0,High School,Management,Yes,4,10+ Miles,Pacific,34,Yes,32-54
13981,M,F,"$10,000.00",5,High School,Skilled Manual,No,3,1-2 Miles,Pacific,62,No,55-89
23432,S,M,"$70,000.00",0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,37,Yes,32-54
22931,M,M,"$100,000.00",5,Graduate Degree,Management,No,1,1-2 Miles,Pacific,78,Yes,55-89
18172,M,M,"$130,000.00",4,High School,Professional,Yes,3,0-1 Miles,Europe,55,No,55-89
12666,S,M,"$60,000.00",0,Bachelors,Professional,No,4,2-5 Miles,Pacific,31,No,25-31
20598,M,M,"$100,000.00",3,Partial High School,Professional,Yes,0,10+ Miles,Europe,59,Yes,55-89
21375,S,M,"$20,000.00",2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,57,No,55-89
20839,S,F,"$30,000.00",3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,47,Yes,32-54
21738,M,M,"$20,000.00",1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,43,No,32-54
14164,S,F,"$50,000.00",0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36,Yes,32-54
14193,S,F,"$100,000.00",3,Partial College,Management,Yes,4,10+ Miles,Europe,56,No,55-89
